nodeId1,portId1,tpn1,nodeId2,portId2,tpn2,priority,metric
0,0,0,1,0,0,7,1
0,1,1,1,1,1,7,3
0,0,2,1,0,2,8,1
0,1,3,1,1,3,8,3
0,0,4,2,0,0,7,2
0,1,5,2,1,1,7,2
0,0,6,2,0,2,8,2
0,1,7,2,1,3,8,2
0,0,8,3,1,0,7,3
0,1,9,3,0,1,7,1
0,0,10,3,1,2,8,3
0,1,11,3,0,3,8,1
1,0,4,2,1,4,7,3
1,1,5,2,0,5,7,1
1,0,6,2,1,6,8,3
1,1,7,2,0,7,8,1
1,0,8,3,0,4,7,2
1,1,9,3,1,5,7,2
1,0,10,3,0,6,8,2
1,1,11,3,1,7,8,2
2,0,8,3,0,8,7,3
2,1,9,3,1,9,7,1
2,0,10,3,0,10,8,3
2,1,11,3,1,11,8,1
