nodeId1,portId1,tpn1,nodeId2,portId2,tpn2,priority,metric
6,0,7,8,0,6,7,4
6,0,8,9,0,6,7,4
6,0,9,10,0,6,7,4
6,0,10,11,0,6,7,4
6,0,11,12,0,6,7,4
6,0,12,13,0,6,7,4
6,0,13,14,0,6,7,4
6,0,14,15,0,6,7,4
6,0,15,16,0,6,7,4
6,0,16,17,0,6,7,4
6,0,17,18,0,6,7,4
6,0,18,19,0,6,7,4
6,0,19,20,0,6,7,4
6,0,20,21,0,6,7,4
6,0,21,22,0,6,7,4
6,0,22,23,0,6,7,4
6,0,23,24,0,6,7,4
6,0,24,25,0,6,7,4
6,0,25,26,0,6,7,4
6,0,26,27,0,6,7,4
6,0,27,28,0,6,7,4
6,0,28,29,0,6,7,4
6,0,29,30,0,6,7,4
6,0,30,31,0,6,7,4
7,0,7,8,0,7,7,4
7,0,8,9,0,7,7,4
7,0,9,10,0,7,7,4
7,0,10,11,0,7,7,4
7,0,11,12,0,7,7,4
7,0,12,13,0,7,7,4
7,0,13,14,0,7,7,4
7,0,14,15,0,7,7,4
7,0,15,16,0,7,7,4
7,0,16,17,0,7,7,4
7,0,17,18,0,7,7,4
7,0,18,19,0,7,7,4
7,0,19,20,0,7,7,4
7,0,20,21,0,7,7,4
7,0,21,22,0,7,7,4
7,0,22,23,0,7,7,4
7,0,23,24,0,7,7,4
7,0,24,25,0,7,7,4
7,0,25,26,0,7,7,4
7,0,26,27,0,7,7,4
7,0,27,28,0,7,7,4
7,0,28,29,0,7,7,4
7,0,29,30,0,7,7,4
7,0,30,31,0,7,7,4
8,0,8,9,0,8,7,4
8,0,9,10,0,8,7,2
8,0,10,11,0,8,7,4
8,0,11,12,0,8,7,4
8,0,12,13,0,8,7,4
8,0,13,14,0,8,7,4
8,0,14,15,0,8,7,4
8,0,15,16,0,8,7,4
8,0,16,17,0,8,7,4
8,0,17,18,0,8,7,4
8,0,18,19,0,8,7,4
8,0,19,20,0,8,7,4
8,0,20,21,0,8,7,4
8,0,21,22,0,8,7,4
8,0,22,23,0,8,7,4
8,0,23,24,0,8,7,4
8,0,24,25,0,8,7,4
8,0,25,26,0,8,7,4
8,0,26,27,0,8,7,4
8,0,27,28,0,8,7,4
8,0,28,29,0,8,7,4
8,0,29,30,0,8,7,4
8,0,30,31,0,8,7,4
9,0,9,10,0,9,7,4
9,0,10,11,0,9,7,2
9,0,11,12,0,9,7,4
9,0,12,13,0,9,7,4
9,0,13,14,0,9,7,4
9,0,14,15,0,9,7,4
9,0,15,16,0,9,7,4
9,0,16,17,0,9,7,4
